addr	stc_prologue
0x000005f4	0
0x00000600	0
0x0000060c	0
0x0000061c	0
0x0000062c	0
0x00000640	0
0x00000648	0
0x00000650	1
0x00000668	1
0x00000680	1
0x00000698	1
0x000006b0	0
0x000006c0	0
0x000006d8	1
0x000006ec	1
0x00000700	1
0x00000718	1
0x00000730	1
0x00000750	1
0x00000770	1
0x00000788	1
0x0000079c	1
0x000007b0	1
0x000007c4	1
0x000007dc	1
0x000007f4	0
0x00000800	0
0x0000080c	0
0x0000081c	0
0x0000082c	0
0x00000838	0
0x00000844	0
0x0000084c	0
0x00000860	0
0x00000874	0
0x00000884	1
0x00000898	1
0x000008ac	1
0x000008c4	1
0x000008d8	1
0x000008f0	1
0x00000908	1
0x0000091c	1
0x00000930	1
0x00000948	1
0x00000970	1
0x00000984	1
0x00000998	1
0x000009ac	1
0x000009c0	1
0x000009d4	1
0x000009f0	1
0x00000a00	1
0x00000a14	1
0x00000a28	1
0x00000a3c	1
0x00000a84	1
0x00000ab8	1
0x00000adc	1
0x00000b04	1
0x00000b34	1
0x00000b48	1
0x00000b5c	1
0x00000b70	1
0x00000b84	1
0x00000b9c	1
0x00000bc4	1
0x00000bdc	1
0x00000bf4	1
0x00000c0c	1
0x00000c24	1
0x00000c40	1
0x00000c58	1
0x00000c70	1
0x00000c84	1
0x00000c9c	1
0x00000cb4	1
0x00000cc8	1
0x00000cf0	1
0x00000d04	1
0x00000d18	1
0x00000d2c	1
0x00000d40	1
0x00000d54	1
0x00000d6c	1
0x00000d84	1
0x00000da0	1
0x00000dbc	1
0x00000dd8	1
0x00000df0	1
0x00000e08	1
0x00000e20	1
0x00000e34	1
0x00000e54	1
0x00000e6c	1
0x00000e84	1
0x00000ea4	1
0x00000ec4	1
0x00000edc	1
0x00000ef4	1
0x00000f10	1
0x00000f28	1
0x00000f40	1
0x00000f58	1
0x00000f70	1
0x00000f88	1
0x00000fac	1
0x00000fc8	1
0x00000fe0	1
0x00000ff8	1
0x0000100c	1
0x00001024	1
0x00001040	1
0x0000105c	1
0x00001080	1
0x00001094	1
0x000010a8	1
0x000010dc	1
0x000010fc	1
0x00001114	1
0x00001130	1
0x0000114c	1
0x0000116c	1
0x00001184	1
0x000011a8	1
0x000011bc	1
0x000011e0	1
0x00001200	1
0x00001220	1
0x00001254	1
0x00001288	1
0x000012a4	1
0x000012c0	1
0x000012dc	1
0x0000130c	1
0x00001340	1
0x00001360	1
0x0000137c	1
0x000013ac	1
0x000023e0	1
0x000023f8	1
0x00002a98	1
0x00002abc	1
0x00002ad8	1
0x00002af4	1
0x00002b10	1
0x00002b38	1
0x00002b8c	1
0x00002bf4	1
0x00002c1c	1
0x00002c40	1
0x00002c64	1
0x00002c88	1
0x00002ca4	1
0x00002ccc	1
0x00002d20	1
0x00002d48	1
0x00002d6c	1
0x00002d90	1
0x00002db8	1
0x00002ddc	1
0x00002e08	1
0x00002e2c	1
0x00002e50	1
0x00002e74	1
0x00002e98	1
0x00002ebc	1
0x00002ee0	1
0x00002f04	1
0x00002f38	1
0x00002f68	1
0x00002f8c	1
0x00002fe8	1
0x00003018	1
0x0000303c	1
0x00003068	1
0x000030dc	1
0x00003114	1
0x0000313c	1
0x00003164	1
0x0000318c	1
0x000031b4	1
0x000031dc	1
0x00003200	1
0x00003234	1
0x00003260	1
0x0000328c	1
0x000032bc	1
0x00003310	1
0x0000342c	1
0x00003464	1
0x000034f0	1
0x00003654	1
0x00003684	1
0x000036dc	1
0x00003794	1
0x000037e8	1
0x0000382c	1
0x00003870	1
0x0000388c	1
0x000038bc	1
0x000038e4	1
0x0000390c	1
0x00003934	1
0x0000395c	1
0x00003978	1
0x000039a0	1
0x000039d4	1
0x00003a04	1
0x00003a44	1
0x00003a78	1
0x00003ab4	1
0x00003ae4	1
0x00003b2c	1
0x00003b4c	1
0x00003b7c	1
0x00003ba0	1
0x00003bc8	1
0x00003c00	1
0x00003c20	1
0x00003c44	1
0x00003cf4	1
0x00003d54	1
0x00003d84	1
0x00003da8	1
0x00003dcc	1
0x00003de0	1
0x00003df4	1
0x00003e08	1
0x00003e20	1
0x00003e34	1
0x00003e48	1
0x00003e5c	1
0x00003e74	1
0x00003e88	1
0x00003ea4	1
0x00003ee0	1
0x00003fac	1
0x00003fc4	1
0x00003fd8	1
0x00004000	1
0x00004018	1
0x00004050	1
0x00004080	1
0x000040f0	1
0x0000412c	1
0x0000417c	1
0x000041d8	1
0x00004288	1
0x000042f0	1
0x00004320	1
0x00004348	1
0x00004360	1
0x00004388	1
0x000043a0	1
0x000043c0	1
0x00004494	1
0x000044c8	1
0x000044fc	1
0x00004520	1
0x00004554	1
0x00004578	1
0x000045ac	1
0x000045e0	1
0x00004600	1
0x00004620	1
0x00004780	1
0x000047c0	1
0x000047f0	1
0x00004808	1
0x0000483c	1
0x000048ac	1
0x0000491c	1
0x00004954	1
0x00004994	1
0x000049cc	1
0x00004a20	1
0x00004a80	1
0x00004aa0	1
0x00004b14	1
0x00004b58	1
0x00004b90	1
0x00004bf0	1
0x00004c10	1
0x00004c98	1
0x00004cd0	1
0x00004d38	1
0x00004df4	1
0x00004e80	1
0x00004eb8	1
0x00004edc	1
0x00004f00	1
0x000050c4	1
0x00005108	1
0x00005130	1
0x00005160	1
0x00005190	1
0x000051b8	1
0x000051d8	1
0x00005200	1
0x00005220	1
0x00005248	1
0x000052b4	1
0x00005348	1
0x00005380	1
0x0000539c	1
0x0000541c	1
0x0000543c	1
